iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
AIA,North America,Anguilla,2020-03-27,2.0,2.0,,0.0,0.0,,133.316,133.316,,0.0,0.0,,,,,,,,,,,71.3,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-03-28,2.0,0.0,,0.0,0.0,,133.316,0.0,,0.0,0.0,,,,,,,,,,,71.3,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-03-29,2.0,0.0,,0.0,0.0,,133.316,0.0,,0.0,0.0,,,,,,,,,,,71.3,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-03-30,2.0,0.0,,0.0,0.0,,133.316,0.0,,0.0,0.0,,,,,,,,,,,74.07,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-03-31,2.0,0.0,,0.0,0.0,,133.316,0.0,,0.0,0.0,,,,,,,,,,,74.07,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-04-01,2.0,0.0,,0.0,0.0,,133.316,0.0,,0.0,0.0,,,,,,,,,,,74.07,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-04-02,2.0,0.0,0.286,0.0,0.0,0.0,133.316,0.0,19.045,0.0,0.0,0.0,,,,,,,,,,74.07,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-04-03,3.0,1.0,0.143,0.0,0.0,0.0,199.973,66.658,9.523,0.0,0.0,0.0,,,,,,,,,,74.07,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-04-04,3.0,0.0,0.143,0.0,0.0,0.0,199.973,0.0,9.523,0.0,0.0,0.0,,,,,,,,,,74.07,15002.0,,,,,,,,,,,,,81.88,
AIA,North America,Anguilla,2020-04-05,3.0,0.0,0.143,0.0,0.0,0.0,199.973,0.0,9.523,0.0,0.0,0.0,,,,,,,,,,74.07,15002.0,,,,,,,,,,,,,81.88,
